complexity,loss,equation,score,sympy_format,lambda_format
14,66724.945,(-2551.8665 / (x0 - 278.35437)) + (9442.175 - ((sqrt(x1) / 0.070381925) * x0)),0.22639842350241282,-14.2081933678285*x0*sqrt(x1) + 9442.175 - 2551.8665/(x0 - 278.35437),PySRFunction(X=>-14.2081933678285*x0*sqrt(x1) + 9442.175 - 2551.8665/(x0 - 278.35437))
1,2025193.4,6674.6147,0.0,6674.61470000000,PySRFunction(X=>6674.61470000000)
3,2024473.0,6675.019 - x1,0.0001778911980500622,6675.019 - x1,PySRFunction(X=>6675.019 - x1)
4,404114.03,9979.555 / exp(x1),1.6113676081462933,9979.555/exp(x1),PySRFunction(X=>9979.555/exp(x1))
5,170424.61,9433.659 / (x1 + 1.0091618),0.8634040617610865,9433.659/(x1 + 1.0091618),PySRFunction(X=>9433.659/(x1 + 1.0091618))
6,166409.19,(sqrt(x1) * -4600.8364) - -9475.144,0.023843273622112266,9475.144 - 4600.8364*sqrt(x1),PySRFunction(X=>9475.144 - 4600.8364*sqrt(x1))
7,160423.7,8704.911 / (x1 + (x0 / 344.43484)),0.0366313150988612,8704.911/(x0/344.43484 + x1),PySRFunction(X=>8704.911/(x0/344.43484 + x1))
8,111942.086,9431.189 - ((sqrt(x1) * 14.627477) * x0),0.3598367918559907,-14.627477*x0*sqrt(x1) + 9431.189,PySRFunction(X=>-14.627477*x0*sqrt(x1) + 9431.189)
10,108710.66,((1442.721 - (x0 * 19.108383)) * sqrt(x1)) + 9397.43,0.014645895438264904,sqrt(x1)*(1442.721 - 19.108383*x0) + 9397.43,PySRFunction(X=>sqrt(x1)*(1442.721 - 19.108383*x0) + 9397.43)
11,97188.03,(x0 / (x0 + -272.8682)) + (9434.304 / (x1 + 1.0243266)),0.11204230166119178,x0/(x0 - 272.8682) + 9434.304/(x1 + 1.0243266),PySRFunction(X=>x0/(x0 - 272.8682) + 9434.304/(x1 + 1.0243266))
12,83843.65,(x0 / (x0 + -272.88965)) + ((sqrt(x1) * -4699.539) + 9439.141),0.1476938008044479,x0/(x0 - 272.88965) - 4699.539*sqrt(x1) + 9439.141,PySRFunction(X=>x0/(x0 - 272.88965) - 4699.539*sqrt(x1) + 9439.141)
13,83678.1,((sqrt(x1) * -4699.2227) + 9446.835) + exp(1.9137826 / (x0 + -272.8748)),0.001976460416536605,-4699.2227*sqrt(x1) + exp(1.9137826/(x0 - 272.8748)) + 9446.835,PySRFunction(X=>-4699.2227*sqrt(x1) + exp(1.9137826/(x0 - 272.8748)) + 9446.835)
16,65972.414,((-2551.8665 / (x0 - 278.35437)) + (9442.175 - (x0 * (sqrt(x1) / 0.070381925)))) - 26.040325,0.00567109302785862,-14.2081933678285*x0*sqrt(x1) + 9416.134675 - 2551.8665/(x0 - 278.35437),PySRFunction(X=>-14.2081933678285*x0*sqrt(x1) + 9416.134675 - 2551.8665/(x0 - 278.35437))
17,65090.09,(((-2551.87 / (x0 - 278.5046)) + 9442.154) - ((sqrt(x1) / 0.069589205) * x0)) - exp(x1),0.013464374671559252,-14.3700448941758*x0*sqrt(x1) - exp(x1) + 9442.154 - 2551.87/(x0 - 278.5046),PySRFunction(X=>-14.3700448941758*x0*sqrt(x1) - exp(x1) + 9442.154 - 2551.87/(x0 - 278.5046))
